1052,1057,1048,1069,1041,1056,1033,1047,1062,1032,1047,1029,1044,1043,1040,1042,1063,1030,1032,1050,1039,1039,1048,1025,1045,1021,1042,1252,1244,1256,1251,1034,1041,1028,1128,1263,1276,1279,1268,1275,1265,,,
0.004301963,0.003898862,0.003499942,0.004287861,0.004521626,0.005044228,0.004082134,0.003736514,0.00459638,0.004867496,0.003854192,0.003630385,0.00411859,0.003648484,0.00390625,0.003315638,0.003739041,0.003170893,0.002944535,0.003715193,0.004035123,0.004035123,0.00384684,0.003092445,0.003187656,0.003569507,0.003655491,0.003399672,0.003166324,0.002515949,0.003130988,0.003595359,0.003322011,0.003183243,0.003528023,0.002898752,0.003272988,0.002826681,0.003314417,0.00292872,0.003150182,,,
0.003039656,0.00378161,0.003169432,0.003811821,0.003662517,0.004269434,0.003719465,0.003506631,0.004221328,0.003726677,0.003736514,0.003177059,0.003758019,0.003533579,0.003328402,0.003098279,0.003512486,0.003170893,0.002944535,0.003265306,0.003794275,0.003446899,0.003062904,0.002879239,0.003080516,0.003339278,0.00342708,0.003307169,0.002730147,0.002206606,0.002617251,0.003255839,0.0032122,0.003074422,0.003423495,0.002730745,0.003096103,0.00266285,0.002468554,0.002844444,0.002975207,,,
0.002833639,0.003440594,0.003169432,0.002843114,0.002690829,0.003336813,0.003602324,0.003284045,0.003631708,0.003493818,0.002860768,0.002753955,0.003641498,0.00258216,0.003110207,0.002888289,0.002977073,0.002851353,0.002637499,0.00315737,0.00260208,0.003009668,0.003062904,0.002775491,0.002975207,0.003116723,0.00342708,0.002452306,0.002646788,0.002206606,0.002300318,0.002933155,0.002791412,0.002862458,0.002553474,0.002730745,0.002924131,0.00266285,0.002390809,0.002519646,0.002722117,,,
0.002443291,0.003330502,0.002855311,0.002551715,0.002215597,0.001897526,0.003373664,0.002860768,0.002780526,0.002254409,0.002466683,0.002267574,0.003413962,0.002390957,0.003003883,0.002786057,0.002775297,0.002548779,0.002637499,0.002452608,0.002315842,0.002701198,0.002754247,0.002573706,0.002871729,0.003008324,0.00342708,0.002296645,0.002326279,0.002206606,0.00222428,0.002727385,0.002791412,0.002759315,0.002464665,0.002648622,0.002839988,0.002582769,0.002314308,0.002519646,0.00255964,,,
0.002350222,0.003115689,0.002655003,0.002366199,0.002038423,0.001897526,0.002437472,0.002660077,0.002216619,0.00198681,0.002466683,0.002175964,0.002293713,0.002390957,0.002796783,0.002685666,0.002677065,0.002548779,0.00253891,0.002359184,0.002315842,0.002504815,0.002754247,0.002475669,0.002770083,0.002119065,0.003098279,0.002000633,0.002326279,0.002059541,0.002076037,0.00243276,0.002690829,0.002658064,0.002207667,0.002488138,0.002675386,0.002503911,0.002239051,0.002069358,0.002102204,,,
0.002350222,0.003115689,0.002655003,0.002366199,0.001786504,0.001815922,0.002342822,0.002101789,0.002128841,0.00198681,0.002015127,0.002086243,0.002293713,0.002298113,0.002219859,0.002490412,0.002301833,0.002082194,0.002347365,0.002267574,0.001960129,0.002504815,0.00255758,0.002285306,0.002572285,0.002029851,0.002395548,0.001860282,0.002099467,0.00198791,0.002076037,0.002245697,0.002592091,0.002658064,0.002207667,0.002488138,0.002594928,0.001917057,0.002239051,0.002069358,0.002102204,,,
0.002169505,0.002707543,0.002461978,0.002187684,0.001786504,0.001815922,0.002070118,0.002015127,0.001795461,0.001817799,0.002015127,0.002086243,0.002026725,0.001861472,0.001956361,0.002302526,0.00221245,0.001994533,0.002163332,0.002177778,0.001875832,0.002409402,0.002461978,0.002102558,0.002476134,0.002029851,0.002302526,0.001860282,0.002026447,0.00198791,0.001863258,0.002245697,0.002306952,0.002461241,0.002207667,0.001965936,0.002437697,0.001849202,0.002020744,0.001998616,0.002030339,,,
0.002081857,0.001812488,0.002186098,0.002101052,0.001786504,0.001736111,0.002070118,0.002015127,0.001564046,0.001736111,0.002015127,0.001998411,0.001941398,0.001861472,0.001709504,0.001948858,0.002038994,0.001908757,0.002074132,0.002177778,0.001875832,0.002224135,0.002461978,0.002014039,0.002109842,0.002029851,0.001702948,0.001659326,0.001815144,0.001848452,0.001794887,0.001979131,0.002215597,0.002461241,0.001964816,0.001695118,0.002137975,0.001849202,0.001747082,0.001998616,0.002030339,,,
0.001911984,0.001812488,0.001762718,0.001772024,0.001627785,0.001736111,0.001897686,0.001766087,0.001418636,0.001656301,0.001847275,0.001998411,0.001776251,0.001545251,0.001630917,0.001702948,0.001954921,0.001824866,0.001901366,0.002089796,0.001793388,0.00213428,0.002276237,0.002014039,0.001772853,0.001692182,0.001702948,0.001659326,0.001747294,0.001780625,0.001794887,0.001979131,0.002126087,0.001916191,0.001736111,0.001695118,0.001660754,0.001782569,0.001681776,0.001998616,0.001689762,,,
0.001829758,0.001732828,0.001683505,0.001772024,0.001551194,0.001507439,0.001732751,0.001533467,0.001280319,0.001578368,0.001847275,0.001998411,0.001395495,0.001545251,0.00147929,0.001624662,0.001792085,0.001824866,0.001901366,0.002089796,0.001793388,0.001634058,0.001762718,0.001759905,0.001772853,0.001692182,0.001548219,0.001594892,0.001680736,0.001714065,0.001794887,0.001894017,0.002126087,0.001669215,0.001591501,0.001695118,0.001299614,0.001652972,0.001617714,0.001793772,0.00156228,,,
