21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,12/13,11/12,10/11,09/10,08/09,07/08,06/07,05/06,04/05,03/04,02/03,01/02,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
77,78,82,78,84,82,88,79,90,91,81,75,70,69,76,70,75,77,74,75,70,63,73,78,68,71,68,49,44,48,52,48,49,50,52,53,49,50,48,52,48
69,65,69,76,63,67,78,69,71,66,73,68,65,67,66,68,70,63,68,59,69,62,73,63,66,69,62,48,43,47,52,45,43,45,48,47,49,46,48,52,45
64,64,66,66,55,64,60,66,64,65,64,65,61,64,64,66,68,59,65,58,68,58,59,62,55,63,56,46,39,42,50,42,41,44,48,43,45,40,48,48,43
58,61,65,58,55,62,55,61,61,55,60,60,59,63,54,60,61,58,64,56,61,57,53,57,52,61,53,46,39,41,44,40,41,43,40,40,42,39,47,44,42
57,60,63,55,55,49,52,49,60,51,54,58,57,61,54,51,52,58,56,54,61,56,50,57,52,53,50,43,38,40,44,40,39,39,37,40,41,37,45,43,42
55,52,52,55,53,49,50,48,55,51,53,47,55,59,52,48,48,57,55,52,56,55,50,55,51,49,49,43,38,39,43,38,36,38,37,39,40,37,38,41,41
52,50,49,54,51,48,50,46,53,48,48,46,52,55,51,45,46,55,50,49,56,53,49,50,50,49,48,36,37,36,43,37,34,37,33,37,39,36,34,39,40
46,49,48,53,49,45,45,44,52,47,44,45,50,50,49,45,44,51,49,46,50,50,48,49,44,48,45,36,36,35,41,35,33,34,32,35,33,34,33,31,37
46,45,45,51,47,45,43,43,44,45,42,44,47,49,46,44,43,48,44,45,50,47,47,41,44,45,44,33,36,35,38,35,32,33,31,35,32,34,32,30,35
45,45,41,44,43,43,41,43,42,44,42,44,46,45,44,44,42,45,42,45,46,46,44,41,43,44,43,32,35,34,36,34,32,32,31,35,30,33,31,29,32
42,43,41,43,42,42,40,40,41,43,41,43,42,40,43,44,38,43,39,43,40,44,40,39,43,43,42,31,34,31,34,33,31,32,31,32,30,33,31,29,32
42,39,39,43,41,41,38,40,39,43,40,42,39,39,41,42,38,42,39,42,39,43,40,39,41,43,40,30,34,28,34,32,31,31,30,32,29,32,30,28,30
42,36,37,36,39,38,38,37,36,42,39,41,38,33,40,41,37,40,38,41,35,41,39,38,41,41,40,29,30,28,34,31,31,31,29,32,29,31,30,28,28
38,35,36,33,36,38,38,36,36,34,38,40,35,32,36,40,36,38,37,40,34,39,41,38,39,40,38,27,29,28,34,29,30,26,29,28,29,30,29,28,27
33,35,36,32,36,37,37,35,32,33,36,38,33,31,34,37,34,36,39,40,34,38,38,37,38,40,38,25,28,27,33,29,30,26,29,25,28,29,28,27,25
33,33,31,28,33,37,36,35,27,31,31,36,31,30,31,34,33,35,32,36,30,35,35,37,38,33,36,22,28,26,32,27,29,26,28,21,28,29,27,22,25
28,31,30,21,31,32,33,34,26,30,30,34,28,29,30,34,30,30,32,30,29,35,30,29,36,29,32,20,23,24,31,23,26,26,24,20,21,22,19,21,21
18,16,20,19,22,25,25,31,25,21,23,29,24,28,29,26,27,18,23,30,22,27,22,21,32,27,26,16,17,23,31,14,24,19,23,18,18,20,14,20,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004236546,0.00385972,0.003742561,0.004236546,0.004028829,0.0033706,0.003484763,0.003296628,0.004147722,0.003686224,0.003990505,0.003021784,0.004369973,0.004886739,0.0038322,0.003273095,0.003409878,0.00446531,0.004226537,0.003823092,0.004340484,0.00419672,0.003620245,0.004380496,0.003748438,0.003338877,0.003659503,0.00493667,0.00390625,0.004060938,0.003709604,0.003855355,0.003460208,0.003855355,0.003655111,0.004060938,0.004271861,0.003655111,0.003855355,0.004488124,0.004488124
0.003786982,0.003568528,0.003323183,0.004083891,0.003730503,0.003234429,0.003484763,0.003027632,0.003851554,0.003265306,0.003273095,0.002894566,0.00390625,0.004246591,0.003686224,0.002876743,0.003131641,0.004157453,0.003493006,0.00339469,0.004340484,0.003897053,0.003476883,0.003620245,0.003602882,0.003338877,0.00351166,0.003460208,0.003703363,0.003460208,0.003709604,0.003655111,0.00308642,0.003655111,0.002907536,0.003655111,0.004060938,0.003460208,0.00308642,0.004060938,0.004271861
0.002963482,0.003427214,0.003188927,0.003934036,0.003443652,0.00284276,0.002822658,0.002770083,0.003707584,0.003130669,0.002750309,0.002770083,0.003611548,0.00350958,0.003402778,0.002876743,0.002865245,0.003574722,0.003354683,0.002991739,0.003460208,0.003468364,0.003336418,0.003476883,0.002790072,0.003203987,0.00308642,0.003460208,0.003505886,0.003270644,0.003372549,0.003270644,0.002907536,0.00308642,0.002733991,0.003270644,0.002907536,0.00308642,0.002907536,0.002565787,0.003655111
0.002963482,0.002890508,0.002802768,0.00364273,0.003168274,0.00284276,0.00257733,0.002645601,0.002654542,0.002869898,0.002505963,0.002648336,0.003191164,0.0033706,0.002998866,0.002750309,0.002736486,0.003166536,0.002704984,0.002863077,0.003460208,0.003064646,0.003198848,0.002434253,0.002790072,0.002816004,0.00295077,0.002907536,0.003505886,0.003270644,0.002897062,0.003270644,0.002733991,0.002907536,0.002565787,0.003270644,0.002733991,0.00308642,0.002733991,0.002402922,0.003270644
0.002836035,0.002890508,0.002326644,0.00271139,0.002651942,0.002595685,0.002343154,0.002645601,0.002418705,0.002743764,0.002505963,0.002648336,0.003056814,0.00284276,0.002743764,0.002750309,0.002610688,0.002783088,0.002464665,0.002863077,0.00292872,0.002935623,0.002803518,0.002434253,0.002664691,0.002692239,0.002818168,0.002733991,0.00331382,0.00308642,0.002600133,0.00308642,0.002733991,0.002733991,0.002565787,0.003270644,0.002402922,0.002907536,0.002565787,0.002245397,0.002733991
0.002470502,0.002639283,0.002326644,0.002589545,0.00253003,0.002476359,0.002230248,0.002289325,0.002304899,0.002620465,0.002388052,0.002529325,0.002548308,0.002246131,0.002620465,0.002750309,0.002137094,0.0025412,0.002125145,0.002614237,0.002214533,0.002685901,0.002316957,0.002202557,0.002664691,0.002571255,0.002688615,0.002565787,0.003127164,0.002565787,0.002319255,0.002907536,0.002565787,0.002733991,0.002565787,0.002733991,0.002402922,0.002907536,0.002565787,0.002245397,0.002733991
0.002470502,0.002171092,0.00210519,0.002589545,0.002410986,0.002359841,0.002012799,0.002289325,0.002085516,0.002620465,0.002272982,0.00241305,0.002197266,0.002135228,0.00238237,0.002505963,0.002137094,0.002424379,0.002125145,0.002494058,0.00210519,0.002565202,0.002316957,0.002202557,0.002422578,0.002571255,0.002438653,0.002402922,0.003127164,0.002093212,0.002319255,0.002733991,0.002565787,0.002565787,0.002402922,0.002733991,0.002245397,0.002733991,0.002402922,0.002093212,0.002402922
0.002470502,0.001849925,0.00189481,0.001815062,0.002181505,0.002027133,0.002012799,0.001958804,0.001777007,0.0025,0.002160754,0.002299511,0.00208603,0.001528773,0.002267574,0.002388052,0.002026095,0.002198983,0.00201756,0.002376707,0.001695502,0.002332128,0.002202557,0.002091054,0.002422578,0.002337631,0.002438653,0.002245397,0.002434643,0.002093212,0.002319255,0.002565787,0.002565787,0.002565787,0.002245397,0.002733991,0.002245397,0.002565787,0.002402922,0.002093212,0.002093212
0.002022338,0.001748579,0.001793772,0.001525157,0.001858797,0.002027133,0.002012799,0.001854353,0.001777007,0.001638322,0.002051367,0.002188708,0.001769658,0.001437524,0.001836735,0.002272982,0.001918056,0.001984582,0.00191277,0.002262184,0.0016,0.002110152,0.002434253,0.002091054,0.002191993,0.002224991,0.002200884,0.001946367,0.002275039,0.002093212,0.002319255,0.002245397,0.002402922,0.001804861,0.002245397,0.002093212,0.002245397,0.002402922,0.002245397,0.002093212,0.001946367
0.001525157,0.001748579,0.001793772,0.001434123,0.001858797,0.001921846,0.001908256,0.001752764,0.001404055,0.001543367,0.001841116,0.001975309,0.00157319,0.001349082,0.001638322,0.001944821,0.001710859,0.001781176,0.002125145,0.002262184,0.0016,0.002003327,0.002091054,0.001982446,0.002081024,0.002224991,0.002200884,0.001668696,0.002120845,0.001946367,0.002184834,0.002245397,0.002402922,0.001804861,0.002245397,0.001668696,0.002093212,0.002245397,0.002093212,0.001946367,0.001668696
0.001525157,0.001554451,0.001330104,0.001098001,0.001561906,0.001921846,0.001806501,0.001752764,0.000999567,0.001361961,0.00136521,0.001772853,0.001388279,0.001263449,0.001361961,0.00164223,0.0016117,0.001683597,0.001430735,0.001832369,0.001245675,0.001699498,0.00177392,0.001982446,0.002081024,0.001514385,0.001975309,0.001292238,0.002120845,0.001804861,0.002054426,0.001946367,0.002245397,0.001804861,0.002093212,0.001177432,0.002093212,0.002245397,0.001946367,0.001292238,0.001668696
0.001098001,0.001371742,0.001245675,0.000617625,0.001378321,0.001437524,0.001517963,0.001654037,0.000926896,0.00127551,0.001278553,0.001581341,0.001132581,0.001180623,0.00127551,0.00164223,0.001331984,0.001236928,0.001430735,0.001272479,0.001164014,0.001699498,0.001303288,0.00121785,0.001867734,0.001169511,0.001560738,0.001067965,0.001431029,0.00153787,0.001928031,0.001412384,0.001804861,0.001804861,0.00153787,0.001067965,0.001177432,0.001292238,0.000963839,0.001177432,0.001177432
0.000453766,0.000365417,0.000553633,0.000505585,0.000694181,0.000877395,0.000871191,0.001375026,0.000856967,0.000625,0.000751505,0.001150439,0.000832101,0.001100604,0.001191893,0.000960335,0.001078907,0.000445294,0.00073912,0.001272479,0.000669896,0.001011375,0.000700879,0.000638611,0.00147574,0.001013762,0.001030331,0.000683498,0.000781791,0.001412384,0.001928031,0.000523303,0.00153787,0.000963839,0.001412384,0.000865052,0.000865052,0.001067965,0.000523303,0.001067965,0.000963839
1.094255803,1.099754628,1.110494118,1.123952243,1.085873283,1.083483075,1.104549845,1.080830338,1.126524031,1.111530612,1.099836487,1.065952601,1.078974436,1.091316457,1.074030612,1.064906431,1.091427354,1.081396739,1.084854887,1.053179712,1.096143945,1.044612868,1.075290959,1.085195949,1.042169569,1.066477172,1.050096022,1.083044983,1.039105783,1.047866205,1.03131395,1.053537101,1.033160323,1.053633218,1.055267205,1.070645905,1.065071126,1.043444829,1.080930411,1.088427528,1.061803153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075523506,0.076512831,0.078051593,0.076092244,0.079933216,0.078368347,0.081393884,0.077130887,0.082042126,0.08330258,0.078085351,0.073857231,0.072053549,0.070826412,0.075209805,0.071694232,0.075579785,0.075109485,0.073733681,0.074577328,0.071137553,0.066773923,0.073920028,0.076831641,0.070763468,0.071844848,0.071959561,0.069941863,0.065748776,0.069073991,0.066468272,0.069073991,0.069941863,0.070798198,0.072477167,0.073300237,0.069941863,0.070798198,0.069073991,0.072477167,0.069073991
0.070776047,0.068659295,0.070525412,0.07494945,0.067459449,0.069581323,0.075987891,0.071232218,0.071542884,0.069148838,0.073503601,0.069659942,0.068909961,0.069581323,0.069148838,0.070458664,0.072573849,0.066580905,0.070106728,0.064491537,0.070525412,0.066118278,0.073920028,0.067658213,0.069500527,0.070625429,0.06805643,0.069073991,0.06481701,0.06819434,0.066468272,0.066398689,0.064552772,0.066398689,0.069073991,0.06819434,0.069941863,0.06730266,0.069073991,0.072477167,0.066398689
0.067618511,0.068013155,0.068653243,0.068900047,0.061987932,0.067667562,0.06488234,0.069349316,0.0671806,0.068509868,0.067914012,0.06777348,0.066280432,0.067667562,0.067864562,0.069198836,0.07132996,0.063923313,0.06821318,0.063806341,0.069907371,0.063428874,0.064973778,0.066997288,0.062081982,0.066822373,0.0639049,0.06730266,0.060954368,0.06361024,0.064872808,0.06361024,0.062654247,0.065482155,0.069073991,0.064552772,0.066398689,0.061684465,0.069073991,0.069073991,0.064552772
0.06361698,0.066035567,0.068016974,0.06361698,0.061987932,0.066359854,0.061430275,0.066084378,0.065217941,0.061754199,0.065266202,0.064503495,0.064925191,0.067016962,0.061039505,0.065266202,0.066776304,0.063242009,0.06756954,0.062414544,0.065408281,0.062739249,0.060732742,0.063589677,0.059907087,0.065503918,0.061727864,0.06730266,0.060954368,0.062654247,0.059844447,0.061684465,0.062654247,0.064552772,0.061684465,0.061684465,0.06361024,0.060700548,0.06819434,0.065482155,0.06361024
0.062926025,0.065362963,0.066725552,0.061522435,0.061987932,0.05717228,0.059270905,0.057526253,0.06455058,0.058849074,0.061085733,0.063149039,0.063541753,0.065696134,0.061039505,0.058894164,0.06041782,0.063242009,0.062181417,0.060993356,0.065408281,0.062042475,0.058508015,0.063589677,0.059907087,0.059953117,0.059478257,0.064552772,0.059953117,0.061684465,0.059844447,0.061684465,0.060700548,0.060700548,0.058688841,0.061684465,0.062654247,0.058688841,0.066398689,0.064552772,0.06361024
0.061522435,0.05972376,0.059136548,0.061522435,0.060547258,0.05717228,0.057792284,0.056761843,0.061110139,0.058849074,0.060363041,0.055172017,0.062129127,0.064348422,0.059587089,0.056629783,0.057387397,0.062553713,0.061476316,0.059541688,0.061996316,0.061338424,0.058508015,0.062176352,0.059166346,0.056997123,0.058711523,0.064552772,0.059953117,0.060700548,0.058968786,0.059702134,0.057660267,0.059702134,0.058688841,0.060700548,0.061684465,0.058688841,0.059702134,0.062654247,0.062654247
0.059360858,0.058237292,0.056909995,0.06080954,0.059075305,0.056411212,0.057792284,0.055206973,0.059683287,0.056585917,0.056629783,0.054398459,0.059953117,0.061568632,0.058849074,0.054288033,0.055820261,0.061155643,0.057836441,0.057304445,0.061996316,0.059907955,0.057750001,0.058508015,0.05841746,0.056997123,0.057936071,0.057660267,0.058936889,0.057660267,0.058968786,0.058688841,0.055555556,0.058688841,0.054478493,0.058688841,0.060700548,0.057660267,0.055555556,0.060700548,0.061684465
0.054820646,0.057481737,0.056151416,0.060089062,0.057570847,0.054076027,0.053949715,0.053616104,0.058958466,0.0558146,0.053489384,0.053616104,0.058462698,0.057924982,0.057348653,0.054288033,0.054216514,0.058269877,0.05708455,0.054991594,0.057660267,0.057704198,0.056983489,0.057750001,0.053743502,0.056237715,0.055555556,0.057660267,0.05790528,0.056615989,0.057183,0.056615989,0.054478493,0.055555556,0.053384297,0.056615989,0.054478493,0.055555556,0.054478493,0.052272432,0.058688841
0.054820646,0.05437336,0.053824065,0.05862478,0.056032555,0.054076027,0.052350466,0.052806664,0.052865751,0.054245483,0.051863748,0.052824756,0.05616425,0.05717228,0.055034518,0.053489384,0.053400396,0.056022524,0.053196306,0.054203007,0.057660267,0.055427044,0.056208303,0.051364096,0.053743502,0.053907759,0.054743337,0.054478493,0.05790528,0.056615989,0.054413884,0.056615989,0.053384297,0.054478493,0.052272432,0.056615989,0.053384297,0.055555556,0.053384297,0.051142327,0.056615989
0.05403385,0.05437336,0.050593221,0.053237953,0.052848581,0.052474002,0.050713205,0.052806664,0.051254311,0.053447293,0.051863748,0.052824756,0.055380647,0.054076027,0.053447293,0.053489384,0.05257449,0.053699071,0.051577326,0.054203007,0.054608635,0.05465089,0.053828812,0.051364096,0.05293264,0.053113232,0.053921411,0.053384297,0.056857862,0.055555556,0.052503841,0.055555556,0.053384297,0.053384297,0.052272432,0.056615989,0.051142327,0.054478493,0.052272432,0.049993375,0.053384297
0.051618026,0.052764822,0.050593221,0.052432751,0.052029032,0.051658797,0.049879748,0.050319667,0.050434233,0.052639742,0.051036316,0.05202421,0.052153774,0.049998866,0.052639742,0.053489384,0.049168134,0.052105345,0.049075199,0.052598197,0.049761267,0.053071804,0.050522531,0.049670557,0.05293264,0.052309432,0.05308955,0.052272432,0.055794184,0.052272432,0.05053932,0.054478493,0.052272432,0.053384297,0.052272432,0.053384297,0.051142327,0.054478493,0.052272432,0.049993375,0.053384297
0.051618026,0.049430473,0.048919135,0.052432751,0.051199616,0.050833831,0.048181933,0.050319667,0.048764183,0.052639742,0.050198825,0.051214253,0.049630361,0.049153651,0.050995674,0.051863748,0.049168134,0.051294439,0.049075199,0.051781549,0.048919135,0.052268471,0.050522531,0.049670557,0.051281707,0.052309432,0.051395068,0.051142327,0.055794184,0.048824925,0.05053932,0.053384297,0.052272432,0.052272432,0.051142327,0.053384297,0.049993375,0.053384297,0.051142327,0.048824925,0.051142327
0.051618026,0.04681922,0.047203284,0.046516175,0.04951021,0.048297925,0.048181933,0.047739466,0.046180474,0.051822612,0.049351024,0.050394661,0.048768247,0.043851377,0.050158689,0.051036316,0.048289544,0.049643417,0.048220527,0.050955105,0.045443407,0.050633145,0.049670557,0.048807906,0.051281707,0.05067314,0.051395068,0.049993375,0.051366847,0.048824925,0.05053932,0.052272432,0.052272432,0.052272432,0.049993375,0.053384297,0.049993375,0.052272432,0.051142327,0.048824925,0.048824925
0.048259191,0.045926244,0.046328999,0.043815481,0.046895677,0.048297925,0.048181933,0.046857414,0.046180474,0.044910769,0.048492648,0.049565198,0.046115039,0.042926197,0.046705059,0.050198825,0.047399577,0.047951818,0.047355093,0.050118626,0.044546184,0.048958046,0.051364096,0.048807906,0.049590238,0.049840184,0.049657856,0.047636281,0.050214068,0.048824925,0.05053932,0.049993375,0.051142327,0.046426695,0.049993375,0.048824925,0.049993375,0.051142327,0.049993375,0.048824925,0.047636281
0.043815481,0.045926244,0.046328999,0.042890911,0.046895677,0.04743141,0.047317037,0.045963864,0.042576247,0.043995623,0.046743043,0.047875661,0.04428734,0.041988205,0.044910769,0.047623419,0.04558423,0.046217505,0.049075199,0.050118626,0.044546184,0.048104952,0.048807906,0.047934298,0.04872866,0.049840184,0.049657856,0.04519536,0.049041662,0.047636281,0.049535642,0.049993375,0.051142327,0.046426695,0.049993375,0.04519536,0.048824925,0.049993375,0.048824925,0.047636281,0.04519536
0.043815481,0.04410451,0.041781201,0.039060391,0.044177438,0.04743141,0.046441101,0.045963864,0.037782125,0.042127492,0.042162476,0.046143509,0.042409205,0.041036987,0.042127492,0.044947597,0.044658162,0.045333598,0.042855691,0.046667144,0.040833815,0.045480143,0.046153008,0.047934298,0.04872866,0.043708189,0.047875661,0.041361787,0.049041662,0.046426695,0.048517112,0.047636281,0.049993375,0.046426695,0.048824925,0.040033979,0.048824925,0.049993375,0.047636281,0.041361787,0.04519536
0.039060391,0.042232641,0.040833815,0.031768849,0.042303068,0.042926197,0.043743887,0.045058489,0.036780315,0.041173701,0.04120804,0.044366373,0.039490188,0.040072103,0.041173701,0.044947597,0.041801798,0.040733072,0.042855691,0.041139427,0.039872858,0.045480143,0.041485081,0.040511565,0.046972415,0.039939025,0.044166025,0.038679241,0.042858751,0.043941406,0.047483266,0.04266389,0.046426695,0.046426695,0.043941406,0.038679241,0.040033979,0.041361787,0.037296225,0.040033979,0.040033979
0.028366519,0.026171746,0.03052328,0.029521829,0.033147659,0.036065941,0.035974432,0.042267821,0.035762919,0.031906618,0.034112879,0.03970851,0.035387169,0.03909308,0.040206179,0.037247898,0.038818955,0.028169273,0.033908772,0.041139427,0.032722135,0.037940026,0.033263232,0.032157995,0.043318689,0.037971784,0.038190816,0.032961755,0.034602375,0.04266389,0.047483266,0.029898369,0.043941406,0.037296225,0.04266389,0.035883442,0.035883442,0.038679241,0.029898369,0.038679241,0.037296225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.983190644,0.98214922,0.981099954,0.977804065,0.985589384,0.986302351,0.983465254,0.987011553,0.978867053,0.981723225,0.983369854,0.989071656,0.986042048,0.983999203,0.987486149,0.989051498,0.984965311,0.985247016,0.985396855,0.991044946,0.982953686,0.992068042,0.987122155,0.985324139,0.992998318,0.988594005,0.991422809,0.985152601,0.9926998,0.99178111,0.994713108,0.989950869,0.994430012,0.990673846,0.990920054,0.98742347,0.988626757,0.992418751,0.985414174,0.985005621,0.988982525
