21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,Dec-13,11-Dec,10-Nov,09-Oct,08-Sep,07-Aug,06-Jul,05-Jun,04-May,03-Apr,02-Mar,01-Feb,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
0.059360858,0.058237292,0.056909995,0.06080954,0.059075305,0.056411212,0.057792284,0.055206973,0.059683287,0.056585917,0.056629783,0.054398459,0.059953117,0.061568632,0.058849074,0.054288033,0.055820261,0.061155643,0.057836441,0.057304445,0.061996316,0.059907955,0.057750001,0.058508015,0.05841746,0.056997123,0.057936071,0.057660267,0.058936889,0.057660267,0.058968786,0.058688841,0.055555556,0.058688841,0.054478493,0.058688841,0.060700548,0.057660267,0.055555556,0.060700548,0.061684465
0.054820646,0.057481737,0.056151416,0.060089062,0.057570847,0.054076027,0.053949715,0.053616104,0.058958466,0.0558146,0.053489384,0.053616104,0.058462698,0.057924982,0.057348653,0.054288033,0.054216514,0.058269877,0.05708455,0.054991594,0.057660267,0.057704198,0.056983489,0.057750001,0.053743502,0.056237715,0.055555556,0.057660267,0.05790528,0.056615989,0.057183,0.056615989,0.054478493,0.055555556,0.053384297,0.056615989,0.054478493,0.055555556,0.054478493,0.052272432,0.058688841
0.054820646,0.05437336,0.053824065,0.05862478,0.056032555,0.054076027,0.052350466,0.052806664,0.052865751,0.054245483,0.051863748,0.052824756,0.05616425,0.05717228,0.055034518,0.053489384,0.053400396,0.056022524,0.053196306,0.054203007,0.057660267,0.055427044,0.056208303,0.051364096,0.053743502,0.053907759,0.054743337,0.054478493,0.05790528,0.056615989,0.054413884,0.056615989,0.053384297,0.054478493,0.052272432,0.056615989,0.053384297,0.055555556,0.053384297,0.051142327,0.056615989
0.05403385,0.05437336,0.050593221,0.053237953,0.052848581,0.052474002,0.050713205,0.052806664,0.051254311,0.053447293,0.051863748,0.052824756,0.055380647,0.054076027,0.053447293,0.053489384,0.05257449,0.053699071,0.051577326,0.054203007,0.054608635,0.05465089,0.053828812,0.051364096,0.05293264,0.053113232,0.053921411,0.053384297,0.056857862,0.055555556,0.052503841,0.055555556,0.053384297,0.053384297,0.052272432,0.056615989,0.051142327,0.054478493,0.052272432,0.049993375,0.053384297
0.051618026,0.052764822,0.050593221,0.052432751,0.052029032,0.051658797,0.049879748,0.050319667,0.050434233,0.052639742,0.051036316,0.05202421,0.052153774,0.049998866,0.052639742,0.053489384,0.049168134,0.052105345,0.049075199,0.052598197,0.049761267,0.053071804,0.050522531,0.049670557,0.05293264,0.052309432,0.05308955,0.052272432,0.055794184,0.052272432,0.05053932,0.054478493,0.052272432,0.053384297,0.052272432,0.053384297,0.051142327,0.054478493,0.052272432,0.049993375,0.053384297
0.051618026,0.049430473,0.048919135,0.052432751,0.051199616,0.050833831,0.048181933,0.050319667,0.048764183,0.052639742,0.050198825,0.051214253,0.049630361,0.049153651,0.050995674,0.051863748,0.049168134,0.051294439,0.049075199,0.051781549,0.048919135,0.052268471,0.050522531,0.049670557,0.051281707,0.052309432,0.051395068,0.051142327,0.055794184,0.048824925,0.05053932,0.053384297,0.052272432,0.052272432,0.051142327,0.053384297,0.049993375,0.053384297,0.051142327,0.048824925,0.051142327
0.051618026,0.04681922,0.047203284,0.046516175,0.04951021,0.048297925,0.048181933,0.047739466,0.046180474,0.051822612,0.049351024,0.050394661,0.048768247,0.043851377,0.050158689,0.051036316,0.048289544,0.049643417,0.048220527,0.050955105,0.045443407,0.050633145,0.049670557,0.048807906,0.051281707,0.05067314,0.051395068,0.049993375,0.051366847,0.048824925,0.05053932,0.052272432,0.052272432,0.052272432,0.049993375,0.053384297,0.049993375,0.052272432,0.051142327,0.048824925,0.048824925
0.048259191,0.045926244,0.046328999,0.043815481,0.046895677,0.048297925,0.048181933,0.046857414,0.046180474,0.044910769,0.048492648,0.049565198,0.046115039,0.042926197,0.046705059,0.050198825,0.047399577,0.047951818,0.047355093,0.050118626,0.044546184,0.048958046,0.051364096,0.048807906,0.049590238,0.049840184,0.049657856,0.047636281,0.050214068,0.048824925,0.05053932,0.049993375,0.051142327,0.046426695,0.049993375,0.048824925,0.049993375,0.051142327,0.049993375,0.048824925,0.047636281
0.043815481,0.045926244,0.046328999,0.042890911,0.046895677,0.04743141,0.047317037,0.045963864,0.042576247,0.043995623,0.046743043,0.047875661,0.04428734,0.041988205,0.044910769,0.047623419,0.04558423,0.046217505,0.049075199,0.050118626,0.044546184,0.048104952,0.048807906,0.047934298,0.04872866,0.049840184,0.049657856,0.04519536,0.049041662,0.047636281,0.049535642,0.049993375,0.051142327,0.046426695,0.049993375,0.04519536,0.048824925,0.049993375,0.048824925,0.047636281,0.04519536
0.043815481,0.04410451,0.041781201,0.039060391,0.044177438,0.04743141,0.046441101,0.045963864,0.037782125,0.042127492,0.042162476,0.046143509,0.042409205,0.041036987,0.042127492,0.044947597,0.044658162,0.045333598,0.042855691,0.046667144,0.040833815,0.045480143,0.046153008,0.047934298,0.04872866,0.043708189,0.047875661,0.041361787,0.049041662,0.046426695,0.048517112,0.047636281,0.049993375,0.046426695,0.048824925,0.040033979,0.048824925,0.049993375,0.047636281,0.041361787,0.04519536
0.039060391,0.042232641,0.040833815,0.031768849,0.042303068,0.042926197,0.043743887,0.045058489,0.036780315,0.041173701,0.04120804,0.044366373,0.039490188,0.040072103,0.041173701,0.044947597,0.041801798,0.040733072,0.042855691,0.041139427,0.039872858,0.045480143,0.041485081,0.040511565,0.046972415,0.039939025,0.044166025,0.038679241,0.042858751,0.043941406,0.047483266,0.04266389,0.046426695,0.046426695,0.043941406,0.038679241,0.040033979,0.041361787,0.037296225,0.040033979,0.040033979
0.028366519,0.026171746,0.03052328,0.029521829,0.033147659,0.036065941,0.035974432,0.042267821,0.035762919,0.031906618,0.034112879,0.03970851,0.035387169,0.03909308,0.040206179,0.037247898,0.038818955,0.028169273,0.033908772,0.041139427,0.032722135,0.037940026,0.033263232,0.032157995,0.043318689,0.037971784,0.038190816,0.032961755,0.034602375,0.04266389,0.047483266,0.029898369,0.043941406,0.037296225,0.04266389,0.035883442,0.035883442,0.038679241,0.029898369,0.038679241,0.037296225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.983190644,0.98214922,0.981099954,0.977804065,0.985589384,0.986302351,0.983465254,0.987011553,0.978867053,0.981723225,0.983369854,0.989071656,0.986042048,0.983999203,0.987486149,0.989051498,0.984965311,0.985247016,0.985396855,0.991044946,0.982953686,0.992068042,0.987122155,0.985324139,0.992998318,0.988594005,0.991422809,0.985152601,0.9926998,0.99178111,0.994713108,0.989950869,0.994430012,0.990673846,0.990920054,0.98742347,0.988626757,0.992418751,0.985414174,0.985005621,0.988982525
