21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,Dec-13,11-Dec,10-Nov,09-Oct,08-Sep,07-Aug,06-Jul,05-Jun,04-May,03-Apr,02-Mar,01-Feb,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
0.003655491,0.004242451,0.003913659,0.004090049,0.003666148,0.003532396,0.003407431,0.003345829,0.003051247,0.003526813,0.003177059,0.003648484,0.003230794,0.003634532,0.003406562,0.005062336,0.002391425,0.002726589,0.004574202,0.00459638,0.004067707,0.003485266,0.004294703,0.004182294,0.00470487,0.00421863,0.004790358,0.003823092,0.003460208,0.003655111,0.003855355,0.003855355,0.004488124,0.003460208,0.00425928,0.005521973,0.004444444,0.005625,0.004444444,0.004444444,0.004444444
0.003540364,0.003526813,0.003453651,0.003726677,0.0032222,0.003421146,0.002975207,0.003014225,0.002946939,0.003413962,0.002961729,0.003092341,0.002807571,0.003080516,0.003074422,0.002770083,0.002016924,0.002236405,0.003646526,0.00443369,0.003915657,0.002810277,0.003830769,0.004182294,0.004541235,0.003605885,0.004152403,0.003677463,0.003270644,0.003460208,0.003855355,0.003655111,0.003270644,0.00308642,0.00425928,0.004908921,0.004171007,0.005017361,0.004444444,0.004171007,0.003402778
0.003206037,0.003526813,0.002336875,0.003268471,0.002908036,0.003203987,0.002670269,0.002907536,0.002946939,0.002877233,0.002961729,0.002882753,0.002509643,0.002975207,0.002365668,0.0023749,0.002016924,0.00196559,0.00308642,0.003519104,0.003064175,0.002810277,0.003682015,0.003034888,0.003336418,0.003317534,0.003850513,0.003534663,0.00308642,0.003460208,0.003655111,0.003655111,0.00308642,0.00308642,0.003474792,0.00405696,0.003650174,0.004726563,0.004444444,0.00390625,0.003164063
0.002587118,0.00248088,0.002157184,0.002637499,0.002609982,0.0025,0.002289325,0.002802768,0.002844444,0.002675386,0.002456459,0.002390957,0.002414047,0.002572285,0.0021802,0.002280854,0.005454162,0.00196559,0.00282387,0.002585464,0.002932398,0.002683989,0.002723218,0.002776722,0.003336418,0.003041198,0.00341904,0.00339469,0.002907536,0.003270644,0.003270644,0.003460208,0.002565787,0.002565787,0.002996122,0.003047228,0.003650174,0.003650174,0.004171007,0.003402778,0.003164063
0.002302526,0.001857907,0.002157184,0.001817799,0.002609982,0.002050552,0.001937685,0.002599,0.002644898,0.002202882,0.002267574,0.002390957,0.002320306,0.002289325,0.0021802,0.002010115,0.001841626,0.001879201,0.002451924,0.002585464,0.002803518,0.002683989,0.00259803,0.00253003,0.002803518,0.002907536,0.002393755,0.003123228,0.002733991,0.002907536,0.00308642,0.003270644,0.002565787,0.002245397,0.002770083,0.003047228,0.003402778,0.003402778,0.003650174,0.003402778,0.003164063
0.002302526,0.001618444,0.002157184,0.001736111,0.001654958,0.001966002,0.001937685,0.002307766,0.002267574,0.002026725,0.002175964,0.001945123,0.002050223,0.002022847,0.002090304,0.001756476,0.001841626,0.001879201,0.002333777,0.002463812,0.002677533,0.002560604,0.00235649,0.00253003,0.002091054,0.002776877,0.002393755,0.002863077,0.002733991,0.002733991,0.00308642,0.003270644,0.002245397,0.002245397,0.002770083,0.003047228,0.003164063,0.002712674,0.002934028,0.003164063,0.002934028
0.002034512,0.001542292,0.001984681,0.001736111,0.001504589,0.001883232,0.001854353,0.002307766,0.001836735,0.001857907,0.002553736,0.001945123,0.001963907,0.001937685,0.002002301,0.001675729,0.001674296,0.001879201,0.002218547,0.002116446,0.002554445,0.002096095,0.00235649,0.002410986,0.001982446,0.00252457,0.002393755,0.002737243,0.002733991,0.002733991,0.002733991,0.002565787,0.002093212,0.002245397,0.002552909,0.002596454,0.003164063,0.002712674,0.002934028,0.003164063,0.002712674
0.001948858,0.001467976,0.001819366,0.001656301,0.001432089,0.001802243,0.001854353,0.002033833,0.001756009,0.001776251,0.001998411,0.001945123,0.001879448,0.001937685,0.001831973,0.001596883,0.001674296,0.001879201,0.001686154,0.002116446,0.002316957,0.001987226,0.00235649,0.002410986,0.001982446,0.00252457,0.002165914,0.002376707,0.002565787,0.002565787,0.002245397,0.002245397,0.002093212,0.002245397,0.002552909,0.002384591,0.002712674,0.002712674,0.002712674,0.003164063,0.002712674
0.001548219,0.001467976,0.001819366,0.001578368,0.001432089,0.001645603,0.001615348,0.001777201,0.001756009,0.00169643,0.001828414,0.001861472,0.001796845,0.001772853,0.001669215,0.002470846,0.001514934,0.001794754,0.001686154,0.002116446,0.002316957,0.001987226,0.002240138,0.002181505,0.001876735,0.002056,0.001949465,0.002262184,0.002565787,0.002402922,0.002245397,0.002245397,0.002093212,0.002245397,0.002552909,0.002181743,0.002296007,0.002100694,0.002712674,0.002934028,0.0025
0.00119363,0.001395495,0.00158487,0.001578368,0.00136138,0.001496084,0.001465168,0.001695502,0.001379592,0.001618444,0.001746249,0.001699684,0.001796845,0.001693185,0.001514027,0.001596883,0.001514934,0.001794754,0.001493617,0.002116446,0.002202557,0.001987226,0.001908757,0.002071067,0.00177392,0.002056,0.001458183,0.002262184,0.002402922,0.002402922,0.001292238,0.001668696,0.001946367,0.001946367,0.002344598,0.00198791,0.002100694,0.000976563,0.002100694,0.002100694,0.002296007
